iter	RMSE
321	217.9432023
322	217.7100091
323	217.6214645
324	217.5536745
325	217.4547286
326	217.3491148
327	217.1236564
328	217.004398
329	216.9904729
330	216.961046
331	216.88375
332	216.8696045
333	216.8251442
334	216.7078077
335	216.6453252
336	216.1882272
337	216.06829
338	216.0661667
339	216.0626125
340	216.0232766
341	215.9532643
342	215.9398458
343	215.8290012
344	215.8266932
345	215.7764423
346	215.6891052
347	215.6503942
348	215.6444768
349	215.5350213
350	215.4694028
351	215.3964826
352	215.3289269
353	215.2700176
354	214.8701538
355	214.7770873
356	214.7078586
357	214.6791064
358	214.6103245
359	214.5294778
360	214.4611298
361	214.3647981
362	214.2903394
363	214.2263939
364	214.123557
365	214.0654485
366	213.9941266
367	213.9424747
368	213.9012205
369	213.7982488
370	213.7869441
371	213.7380939
372	213.634451
373	213.5995251
374	213.5115151
375	213.4598874
376	213.4008073
377	213.3813357
378	213.3164469
379	213.2777081
380	213.2318655
381	213.2072802
382	212.9653823
383	212.9143717
384	212.8514788
385	212.7583611
386	212.7423983
387	212.6886508
388	212.6330961
389	212.6184151
390	212.6036244
391	212.5331494
392	212.4929006
393	212.4415531
394	212.4042038
395	212.3943701
396	212.3148169
397	212.2270441
398	212.1966247
399	212.1386812
400	212.0684357
401	212.033732
402	211.9883923
403	211.9451422
404	211.8486286
405	211.8313998
406	211.8176975
407	211.7878498
408	211.7685216
409	211.5070294
410	211.4939122
411	211.4350038
412	211.387359
413	211.3483454
414	211.2891149
415	211.2804684
416	211.2290744
417	211.1892745
418	210.8099179
419	210.7958906
420	210.7855383
421	210.7615698
422	210.6940409
423	210.6565899
424	210.5006315
425	210.1345269
426	210.1212101
427	210.1149172
428	210.0994889
429	210.0923414
430	210.0648256
431	210.0074191
432	209.9624768
433	209.9498357
434	209.9378265
435	209.9237553
436	209.9170256
437	209.9106618
438	209.833378
439	209.8058027
440	209.7666245
441	209.6625775
442	209.6250721
443	209.6001091
444	209.5791094
445	209.5694451
446	209.52868
447	209.4797356
448	209.3130119
449	209.2610481
450	209.2357084
451	209.1914767
452	209.1460691
453	209.0874265
454	209.0407449
455	209.0022489
456	208.9013602
457	208.8419802
458	208.8008745
459	208.7737837
460	208.7321922
461	208.7252591
462	208.7162035
463	208.6729942
464	208.6450177
465	208.6323017
466	208.5388289
467	208.4399256
468	208.4281085
469	208.3390854
470	208.3243191
471	208.2977671
472	208.2594086
473	208.2189858
474	208.0443664
475	208.0199231
476	207.6693211
477	207.3370611
478	207.3012924
479	207.2541801
480	207.1529732
481	206.8316846
482	206.8195826
483	206.7476801
484	206.7147069
485	206.7037447
486	206.6502639
487	206.6311865
488	206.6300951
489	206.5658381
490	206.3797914
491	206.3743955
492	206.3415457
493	206.3405115
494	206.306626
495	206.2798103
496	206.2495693
497	206.2026487
498	206.1371631
499	206.1094582
500	206.0302676
501	206.0202475
502	205.7992472
503	205.7866775
504	205.7340848
505	205.5464279
506	205.488185
507	205.3511575
508	205.349255
509	205.3123254
510	205.2424033
511	204.934829
512	204.8174753
513	204.7646607
514	204.7333126
515	204.7150785
516	204.6344238
517	204.4633624
518	204.4122589
519	204.3551843
520	204.3057973
521	204.2295859
522	204.2062463
523	204.1439582
524	204.0274683
525	203.9922485
526	203.936107
527	203.9134246
528	203.8299677
529	203.7044312
530	203.6663954
531	203.590595
532	203.5243834
533	203.4958391
534	203.4556111
535	203.4372109
536	203.3772876
537	203.1437089
538	203.1087142
539	203.0743243
540	203.0367174
541	202.9983818
542	202.9564185
543	202.951095
544	202.7275398
545	202.648918
546	202.5610226
547	202.5056136
548	202.4516386
549	202.404116
550	202.3652269
551	202.3640798
552	202.3122929
553	202.3050517
554	202.2305995
555	202.2296281
556	202.2162208
557	202.1659226
558	202.1377004
559	201.9239758
560	201.9133441
561	201.8656642
562	201.8458853
563	201.8178832
564	201.8100913
565	201.6820655
566	201.5627476
567	201.5127185
568	201.3105467
569	201.2470748
570	200.9801659
571	200.9490244
572	200.8582616
573	200.8177155
574	200.7682032
575	200.6344602
576	200.6332619
577	200.5872242
578	200.5483101
579	200.4980955
580	200.4186226
581	200.3856172
582	200.3378286
583	200.2991044
584	200.253506
585	200.2040745
586	200.1808662
587	200.1451548
588	200.1016789
589	200.0719457
590	200.0653481
591	200.0468566
592	200.0394953
593	200.031621
594	199.9723848
595	199.9398431
596	199.9079112
597	199.8260321
598	199.803396
599	199.80231
600	199.7648982
601	199.7510902
602	199.7095577
603	199.6918764
604	199.6226949
605	199.524792
606	199.4339532
607	199.325432
608	199.3158921
609	199.2769155
610	199.2149921
611	199.2015272
612	199.1773963
613	199.1423374
614	199.0821331
615	199.0331355
616	199.0255908
617	199.0183142
618	198.9550774
619	198.8958868
620	198.8596278
621	198.8258604
622	198.7514628
623	198.7263026
624	198.6985743
625	198.6936454
626	198.6704048
627	198.5933718
628	198.5551275
629	198.5363954
630	198.4849219
631	198.4407837
632	198.4321681
633	198.4238531
634	198.415827
635	198.3583823
636	198.3313279
637	198.3069492
638	198.2809288
639	198.0228934
640	198.0148537
641	197.9360983
642	197.925376
643	197.8756204
644	197.8608696
645	197.8597388
646	197.8280645
647	197.8012203
648	197.7255025
649	197.6746805
650	197.6485239
651	197.5878155
652	197.5574653
653	197.4205086
654	197.4036374
655	197.4015352
656	197.282321
657	197.261194
658	197.223747
659	197.1994486
660	197.1924392
661	197.086987
662	197.0677367
663	197.0339857
664	196.9368219
665	196.8875873
666	196.8128233
667	196.7793904
668	196.7511483
669	196.7109456
670	196.6750156
671	196.6502735
672	196.5969569
673	196.5221658
674	196.4780302
675	196.4298321
676	196.4154733
677	196.3546727
678	196.3538567
679	196.2709104
680	196.1864309
681	196.1181089
682	196.0899369
683	196.079775
684	196.0424657
685	196.0067537
686	196.0047457
687	196.0008129
688	195.996347
689	195.9689499
690	195.937177
691	195.9123669
692	195.6836049
693	195.6762092
694	195.6304323
695	195.6032084
696	195.5545308
697	195.5536726
698	195.4229827
699	195.3646664
700	195.2585106
701	195.2567742
702	195.2350142
703	195.1348431
704	195.0391911
705	195.0045888
706	194.9890085
707	194.9739053
708	194.9565354
709	194.9151045
710	194.8653885
711	194.8312083
712	194.7855304
713	194.7688158
714	194.7507501
715	194.7268648
716	194.7115401
717	194.7076166
718	194.7067329
719	194.6717133
720	194.6398463
721	194.6096737
722	194.5804033
723	194.5762057
724	194.5719868
725	194.5573965
726	194.5376153
727	194.5366761
728	194.4544376
729	194.4043687
730	194.4032617
731	194.3498485
732	194.3260164
733	194.2929168
734	194.2579783
735	194.2574163
736	194.161604
737	194.1414584
738	194.1108017
739	193.9406755
740	193.906898
741	193.835495
742	193.7600502
743	193.7284006
744	193.6810339
745	193.6773592
746	193.6418621
747	193.5975475
748	193.5965306
749	193.5163982
750	193.5074779
751	193.4624868
752	193.3650023
753	193.3644766
754	193.3355082
755	193.2827221
756	193.2526745
757	193.1806988
758	193.1161631
759	193.1012121
760	192.9937094
761	192.9882208
762	192.9783881
763	192.977862
764	192.9604313
765	192.9258931
766	192.9242206
767	192.9234499
768	192.8742685
769	192.6732838
770	192.5664153
771	192.5654229
772	192.521736
773	192.5165908
774	192.3641269
775	192.268919
776	192.1994667
777	192.1691093
778	192.1492614
779	192.1137513
780	192.0090309
781	191.9845983
782	191.9709108
783	191.9111672
784	191.8685673
785	191.7295262
786	191.6941042
787	191.6630982
788	191.5987523
789	191.5618876
790	191.5434242
791	191.5274644
792	191.457101
793	191.4445383
794	191.4378022
795	191.4197995
796	191.3717868
797	191.334879
798	191.3197827
799	191.3192389
800	191.297901
801	191.2635925
802	191.2453903
803	191.2154332
804	191.189444
805	191.1884164
806	191.1613109
807	191.160673
808	191.0692857
809	191.0452218
810	191.0238653
811	190.975603
812	190.8853231
813	190.8651883
814	190.8391821
815	190.8288611
816	190.7619718
817	190.7437456
818	190.7117804
819	190.6928016
820	190.6924591
821	190.6679753
822	190.6673574
823	190.645105
824	190.6228992
825	190.5994407
826	190.5164216
827	190.5034027
828	190.4488843
829	190.4267566
830	190.2502232
831	190.2357929
832	190.2153264
833	190.2005736
834	190.144932
835	190.1271499
836	190.1153047
837	189.9261814
838	189.8336558
839	189.776627
840	189.7607818
841	189.7302895
842	189.6048898
843	189.5700489
844	189.5436427
845	189.5143684
846	189.5139682
847	189.4802737
848	189.4486457
849	189.3516381
850	189.3252344
851	189.2987616
852	189.282546
853	189.2323093
854	189.2225861
855	189.1949457
856	189.1767879
857	189.0099999
858	189.001297
859	188.9921211
860	188.9828977
861	188.9181767
862	188.910274
863	188.8700083
864	188.8575078
865	188.8410436
866	188.8099127
867	188.8004794
868	188.7691159
869	188.7529269
870	188.7003146
871	188.6122815
872	188.6016322
873	188.5850596
874	188.5846991
875	188.5714953
876	188.5702212
877	188.4112489
878	188.3802382
879	188.3632023
880	188.3484263
881	188.2995014
882	188.2758945
883	188.2754991
884	188.2476877
885	188.224846
886	188.200259
887	188.1085787
888	187.989709
889	187.9869928
890	187.9866131
891	187.985879
892	187.9206621
893	187.8846606
894	187.839548
895	187.8392045
896	187.8211329
897	187.75413
898	187.7361926
899	187.723849
900	187.694852
901	187.6729541
902	187.5776327
903	187.556656
904	187.5558812
905	187.5207085
906	187.5195668
907	187.4914526
908	187.4650356
909	187.4524058
910	187.4402158
911	187.4184352
912	187.4056903
913	187.3677097
914	187.3445954
915	187.232689
916	187.2065737
917	187.1707089
918	187.0924732
919	187.0558401
920	187.039312
921	186.9370183
922	186.9179732
923	186.8993168
924	186.8836574
925	186.8649355
926	186.8556511
927	186.8515151
928	186.850839
929	186.8223603
930	186.8220559
931	186.8118226
932	186.8115304
933	186.7103502
934	186.6675648
935	186.5810816
936	186.5301143
937	186.5270583
938	186.4554757
939	186.4264515
940	186.40432
941	186.3792287
942	186.3669593
943	186.3600962
944	186.3597539
945	186.3354326
946	186.307752
947	186.2812286
948	186.2808183
949	186.2433349
950	186.2430575
951	186.2427797
952	186.2395301
953	186.1954205
954	186.121405
955	186.0998302
956	186.0176128
957	186.0013865
958	185.9423567
959	185.9333093
960	185.9099526
961	185.7465847
962	185.728541
963	185.7215156
964	185.7028223
965	185.6933181
966	185.6189551
967	185.6112549
968	185.592638
969	185.572915
970	185.5687112
971	185.4970763
972	185.3938923
973	185.3348766
974	185.3129868
975	185.2767913
976	185.264843
977	185.2353923
978	185.222724
979	185.1984944
980	185.1312333
981	185.0865904
982	185.0616091
983	185.0376639
984	185.0279782
985	184.9914769
986	184.9613724
987	184.9574275
988	184.9325687
989	184.8913213
990	184.8894629
991	184.8813927
992	184.8554952
993	184.8103413
994	184.7397389
995	184.7093404
996	184.6749107
997	184.6573108
998	184.6412373
999	184.6273703
